GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP010035	0.094	0.26	0.04	0.743	0.047	0.463	0.883	0.955	0.92	0.443	0.781	0.272	0.899	0.676	0.8	0.161	0.554	0.052
AGAP001401	0.094	0.373	0.001	0.048	0.586	0.997	0.167	0.475	0.188	0.29	0.182	0.135	0.099	0.992	0.003	0.837	0.432	0.0
AGAP002128	0.094	0.909	0.263	0.009	0.954	0.134	0.317	0.667	0.583	0.526	0.0	0.983	0.0	0.737	0.0	0.678	0.751	0.056
AGAP008623	0.095	0.135	0.339	0.261	0.019	0.757	0.531	0.021	0.049	0.717	0.26	0.972	0.122	0.192	0.912	0.004		0.129
AGAP007389	0.095	0.001	0.382	0.257	0.041	0.562	0.735	0.348	0.521	0.222	0.008	0.982	0.0	0.962	0.0	0.397	0.048	0.429
AGAP009259	0.095	0.546	0.019	0.14	0.077	0.476	0.886	0.488	0.417	0.309	0.438	0.726	0.892	0.805	0.972	0.025	0.342	0.53
AGAP008796	0.095	0.709	0.38	0.241	0.465	0.516	0.295	0.683	0.048	0.394	0.569	0.219	0.403	0.165	0.324	0.677	0.718	0.572
AGAP003091	0.095	0.002	0.009	0.0	0.026	0.043	0.002	0.0	0.0	0.087	0.074	0.004	0.279	0.008	0.925	0.004	0.042	0.0
AGAP002193	0.095	0.252	0.372	0.31	0.61	0.596	0.99	0.204	0.185	0.833	0.507	0.69	0.46	0.627	0.089	0.111	0.091	0.061
AGAP001185	0.095	0.814	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.002	0.003	0.001	0.001	0.0	0.0	0.77	0.817	0.667
AGAP001827	0.095	0.077	0.214	0.002	0.001	0.518	0.321	0.365	0.011	0.0	0.013	0.0	0.008	0.0	0.001	0.244	0.171	0.0
AGAP006117	0.095	0.0	0.139	0.0	0.018	0.612	0.297	0.18	0.55	0.011	0.102	0.103	0.02	0.0	0.735	0.0	0.084	0.003
AGAP006258	0.096	0.6	0.167	0.702	0.985	0.1	0.743	0.0	0.0	0.602	0.004	0.747	0.015	0.518	0.0	0.0	0.181	0.83
AGAP008013	0.096	0.016	0.0	0.929	0.757	0.004	0.0	0.0	0.002	0.309	0.284	0.177	0.106	0.001	1.0	0.0	0.0	0.001
AGAP011196	0.096	0.539	0.0	0.0	0.0	0.787	0.0	0.0	0.04	0.011	0.037	0.001	0.01	0.275	0.004	0.159	0.819	0.244
AGAP007731	0.096	0.883	0.047	0.891	0.911	0.88	0.947	0.024	0.0	0.748	0.0	0.76	0.0	0.582	0.001	0.418	0.219	0.994
AGAP003350	0.096	0.047	0.047	0.184	0.0	0.0	0.272	0.494	0.194	0.11	0.0	0.002	0.0	0.002	0.0	0.217	0.363	0.0
AGAP002943	0.096	0.007	0.771	0.369	0.777	0.934	0.273	0.0	0.0	0.815	0.124	0.566	0.908	0.614	0.877	0.024	0.66	0.0
AGAP000864	0.096	0.329	0.886	0.0	0.39	0.935	0.632	0.344	0.265	0.096	0.307	0.215	0.002	0.048	0.338	0.065	0.709	0.341
AGAP009549	0.096	0.01	0.04	0.227	0.436	0.843	0.862	0.608	0.108	0.061	0.864	0.072	0.865	0.098	0.845	0.001	0.677	0.191
AGAP003247	0.096	0.453	0.988	0.151	0.896	0.038	0.519	0.001	0.008	0.043	0.199	0.138	0.828	0.921		0.384	0.339	0.0
AGAP008558	0.096	0.628	0.197	0.836	0.202	0.128	0.203	0.352	0.478	0.0	0.146	0.0	0.181	0.0	0.863	0.032	0.0	0.623
AGAP011220	0.096	0.001	0.0	0.919	0.0	0.314	0.018	0.922	0.366	0.143	0.0	0.07	0.0	0.024	0.0	0.463	0.628	0.0
AGAP013409	0.096	0.322	0.138	0.0	0.0	0.644	0.497		0.25	0.614	0.96	0.393	0.127	0.941	0.658	0.0	0.056	0.072
AGAP001085	0.096	0.596	0.007	0.574	0.208	0.131	0.363		0.571	0.45	0.334	0.528	0.278	0.274	0.54	0.708	0.041	0.689
AGAP005525	0.096	0.949	0.21	0.18	0.497	0.714	0.954	0.348	0.235	0.613	0.003	0.062	0.0	0.046	0.0	0.887	0.005	0.001
AGAP002328	0.096	0.0	0.0	0.001	0.96	0.028	0.178	0.007	0.0	0.155	0.336	0.257	0.535	0.008	0.021	0.523	0.005	0.275
AGAP003296	0.096	0.971	0.0	0.77	0.964	0.321	0.106	0.0	0.002	0.589	0.0	0.066	0.0	0.419	0.0	0.422	0.981	0.449
AGAP004147	0.096	0.877	0.793	0.529	0.805	0.788	0.422	0.716	0.127	0.919	0.452	0.882	0.771	0.878	0.588	0.367	0.663	0.548
AGAP008715	0.096	0.914	0.0	0.01	0.039	0.764	0.026	0.509	0.944	0.2	0.456	0.051	0.155	0.006	0.053	0.017	0.843	0.001
AGAP010548	0.097	0.618	0.0	0.259	0.93	0.0	0.0	0.0	0.0	0.717	0.358	0.39	0.578	0.575	0.662	0.0	0.936	0.0
AGAP004374	0.097	0.852	0.684	0.002	0.004	0.531	0.558	0.542	0.254	0.939	0.941	0.762	0.713	0.999	0.995	0.271	0.013	0.483
AGAP007864	0.097	0.392	0.796	0.811	0.129	0.778	0.546	0.767	0.825	0.016	0.466	0.055	0.553	0.283	0.807	0.16	0.023	0.02
AGAP011815	0.097	0.905	0.575	0.769	0.0	0.062	0.076	0.0	0.0	0.016	0.179	0.029	0.062	0.03	0.092	0.069	0.0	0.029
AGAP029112	0.097	0.3	0.0	0.003	0.121	0.011	0.323	0.008	0.003	0.912	0.003	0.975	0.0	0.536	0.037	0.027	0.968	0.37
AGAP004103	0.097	0.0	0.002	0.0	0.773	0.958	0.582	0.434	0.068	0.004	0.0	0.024	0.001	0.0	0.0	0.53	0.448	0.0
AGAP012393	0.097	0.006	0.005	0.712	0.639	0.685	0.385	0.1	0.152	0.529	0.924	0.996	0.377	0.712	0.635	0.046	0.203	0.097
AGAP002344	0.097	0.795	0.0	0.008	0.402	0.859	0.135	0.65	0.688	0.583	0.002	0.22	0.0	0.157	0.0	0.33	0.01	0.302
AGAP006708	0.097	0.959	0.345	0.229	0.406	0.901	0.953	0.619	0.645	0.81	0.727	0.528	0.162	0.331	0.869	0.037	0.105	0.668
AGAP000770	0.098	0.045	0.105	0.508	0.856	0.805	0.496	0.044	0.014	0.26	0.134	0.299	0.115	0.423	0.249	0.168	0.77	0.0
AGAP010870	0.098	0.06	0.034	0.0	0.128	0.53	0.0	0.0	0.048	0.427	0.002	0.4	0.0	0.534	0.0	0.566	0.291	0.0
AGAP002420	0.098	0.057	0.034	0.007	0.009	0.529	0.966	0.543	0.113	0.337	0.001	0.541	0.0	0.349	0.004	0.189	0.009	0.291
AGAP009572	0.098	0.129	0.961	0.871	0.861	0.828	0.026	0.999	0.903	0.679	0.022	0.716	0.007	0.866	0.005	0.556	0.941	0.38
AGAP000605	0.098	0.007	0.001	0.076	0.747	0.001	0.0	0.052	0.581	0.579	0.321	0.564	0.361	0.246	0.89	0.696	0.314	0.0
AGAP000539	0.098	0.271	0.619	0.387	0.0	0.017	0.004	0.004	0.0	0.253	0.883	0.037	0.64	0.182	0.972	0.081	0.825	0.0
AGAP005146	0.098			0.687	0.531		0.691		0.888		0.997		0.971	0.559	0.659	0.318	0.882	0.07
AGAP001311	0.098	0.549	0.008	0.031	0.003	0.647	0.704	0.135	0.045	0.151	0.973	0.101	0.973	0.012	0.712	0.302	0.051	0.754
AGAP029052	0.098	0.004	0.0	0.0	0.0	0.601	0.63	0.518	0.058	0.134	0.0	0.606	0.0	0.049	0.0	0.0	0.589	0.037
AGAP005505	0.098	0.09	0.228	0.511	0.602	0.752	0.221	0.955	0.315	0.571	0.553	0.495	0.434	0.252	0.249	0.514	0.029	0.489
AGAP000343	0.099	0.972	0.181	0.074	0.988	0.159	0.0	0.784	0.735	0.523	0.293	0.677	0.194	0.254	0.716	0.2	0.403	0.967
AGAP004844	0.099	0.165	0.0	0.02	0.488	0.888	0.773	0.304	0.687	0.099	0.0	0.374	0.0	0.991	0.0	0.504	0.0	0.033
AGAP010146	0.099	0.01	0.84	0.379	0.46	0.385	0.166	0.066	0.006	0.974	0.134	0.466	0.828	0.514	0.64	0.0	0.648	0.003
AGAP006219	0.099	0.979	0.0	0.4	0.771	0.788	0.485	0.206	0.016	0.199	0.734	0.634	0.273	0.958	0.24	0.248	0.546	0.0
AGAP007038	0.099	0.002	0.8	0.0	0.088	0.338	0.091	0.897	0.803	0.077	0.0	0.098	0.001	0.181	0.006	0.385	0.769	0.0
AGAP006457	0.099	0.757	0.527	0.333	0.553	0.574	0.911	0.696	0.726	0.024	0.235	0.118	0.056	0.16	0.041	0.969	0.293	0.944
AGAP008446	0.099	0.0	0.26	0.0	0.0	0.532	0.272	0.036	0.259	0.039	0.001	0.0	0.0			0.542	0.137	0.0
AGAP008952	0.099	0.634	0.005	0.0	0.184	0.121	0.192	0.046	0.011	0.85	0.068	0.158	0.613	0.029	0.774	0.498	0.513	0.949
AGAP013279	0.099	0.36	0.0	0.01	0.312	0.828	0.989	0.896	0.623	0.13	0.068	0.102	0.049	0.328	0.223	0.857	0.36	0.256
AGAP004904	0.099	0.935	0.102	0.0	0.399	0.0	0.0	0.0	0.0	0.845	0.353	0.338	0.025	0.488	0.043	0.383	0.759	0.0
AGAP011721	0.099	0.895	0.86	0.043	0.056	0.37	0.63	0.559	0.797	0.72	0.86	0.372	0.467	0.765	0.89	0.002	0.443	0.353
AGAP004481	0.1	0.625	0.001	0.16	0.615	0.211	0.893	0.86	0.174	0.984	0.229	0.507	0.706	0.529	0.652	0.154	0.102	0.0
AGAP005352	0.1	0.138	0.075	0.008	0.91	0.517	0.101	0.715	0.899	0.084	0.058	0.036	0.015	0.007	0.007	0.672	0.225	0.044
AGAP007475	0.1	0.079	0.712	0.122	0.339	0.079	0.03	0.007	0.003	0.088	0.043	0.024	0.112	0.103	0.004	0.5	0.822	0.559
AGAP001556	0.1	0.157	0.843	0.0	0.079	0.69	0.254	0.032	0.0	0.946	0.865	0.066	0.102	0.166	0.242	0.222	0.001	0.674
AGAP010679	0.1	0.594	0.002	0.54	0.36	0.821	0.777	0.888	0.115	0.013	0.016	0.361	0.234	0.042	0.026	0.583	0.725	0.003
AGAP011242	0.1	0.539	0.02	0.954	0.238	0.858	0.188	0.463	0.72	0.156	0.095	0.606	0.335	0.124	0.072	0.557	0.52	0.574
AGAP009068	0.1	0.623	0.428	0.014	0.349	0.338	0.674	0.975	0.577	0.881	0.0	0.823	0.0	0.82	0.0	0.668	0.516	0.181
AGAP010337	0.1	0.01	0.0	0.364	0.969	0.052	0.568	0.324	0.376	0.296	0.0	0.298	0.0	0.553	0.0	0.586	0.193	0.496
AGAP004208	0.1	0.056	0.0	0.0	0.0	0.722	0.197	0.744	0.247	0.548	0.0	0.985	0.0	0.968	0.0	0.531	0.0	0.244
AGAP004739	0.101	0.0	0.0	0.204	0.771	0.081	0.008	0.0	0.0	0.99	0.869	0.841	0.596	0.278	0.156	0.0	0.962	0.647
AGAP007863	0.101	0.699	0.014	0.193	0.116	0.467	0.938	0.129	0.0	0.114	0.015	0.011	0.001	0.013	0.001	0.716	0.1	0.0
AGAP010088	0.101	0.654	0.017	0.167	0.242	0.869	0.357	0.808	0.903	0.154	0.176	0.465	0.62	0.439	0.655	0.177	0.644	0.622
AGAP012826	0.101	0.704	0.021	0.0	0.0	0.929	0.422	0.468	0.421	0.701	0.419	0.765	0.996	0.717	0.989	0.072	0.99	0.355
AGAP007982	0.101	0.818	0.012	0.0	0.744	0.832	0.475	0.002	0.0	0.839	0.294	0.056	0.831	0.025	0.422	0.131	0.001	0.0
AGAP027998	0.101	0.686	0.043	0.0	0.012	0.027	0.128	0.001	0.002	0.035	0.004	0.027	0.002	0.032	0.005	0.335	0.891	0.047
AGAP000929	0.101	0.265	0.145	0.7	0.014	0.974	0.12	0.0	0.0	0.93	0.039	0.107	0.001	0.039	0.0	0.115	0.018	0.0
AGAP007313	0.101	0.167	0.023	0.47	0.488	0.779	0.148	0.79	0.724	0.96	0.001	0.574	0.0	0.864	0.0	0.001	0.0	0.0
AGAP012489	0.101	0.635	0.449	0.599	0.313	0.52	0.232	0.121	0.11	0.232	0.854	0.255	0.802	0.051	0.425	0.404	0.024	0.004
AGAP004477	0.101	0.909	0.828	0.325	0.36	0.773	0.762	0.206	0.752	0.255	0.012	0.605	0.033	0.892	0.332	0.173	0.625	0.001
AGAP012590	0.101	0.566	0.764	0.0	0.0	0.35	0.977	0.012	0.002	0.263	0.628	0.464	0.661	0.482	0.363	0.001	0.042	0.263
AGAP012432	0.102	0.621	0.681	0.906	0.017	0.801	0.311	0.951	0.782	0.085	0.002	0.417	0.033	0.711	0.548	0.071	0.162	0.57
AGAP004285	0.102	0.0	0.008	0.003	0.591	0.566	0.498	0.488	0.042	0.302	0.024	0.487	0.041	0.747	0.176	0.0	0.292	0.171
AGAP009831	0.102	0.467	0.0	0.371	0.852	0.304	0.804	0.516	0.564	0.664	0.008	0.405	0.0	0.986	0.007	0.187	0.004	0.0
AGAP008785	0.102	0.0	0.705	0.361	0.996	0.981	0.89	0.603	0.586	0.044	0.004	0.018	0.003	0.093	0.019	0.118	0.649	0.0
AGAP006779	0.102	0.012	0.907	0.519	0.829	0.103	0.039	0.561	0.286	0.422	0.29	0.208	0.568	0.2	0.508	0.69	0.514	0.77
AGAP003831	0.102	0.17	0.264	0.0	0.237	0.0	0.061	0.919	0.174	0.135	0.0	0.279	0.0	0.079	0.0	0.002	0.873	0.001
AGAP003745	0.102	0.581	0.071	0.992	0.713	0.617	0.257	0.189	0.027	0.222	0.065	0.223	0.06	0.356	0.118	0.286	0.056	0.02
