GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN008168	0.76	0.45	0.29	0.38	0.33
AFUN022293	-1.05	-1.11	-1.82	-1.04	-1.63
AFUN007784	-0.83	-0.3	-0.58	-0.57	-0.71
AFUN009138	1.02	0.84	0.63	0.65	0.69
AFUN011255	0.91	0.36	0.31	0.28	0.47
AFUN015016	1.15	1.15	0.6	0.9	0.92
AFUN018556	3.07	1.49	3.04	3.2	3.38
AFUN019709	1.55	1.12	0.97	0.63	1.16
AFUN010985	0.72	0.74	0.42	0.48	0.5
AFUN006211	0.51	0.58	0.11	0.35	0.14
AFUN011775	-2.44	-1.87	-1.76	-1.92	-2.18
AFUN014072	1.09	0.67	0.58	0.73	0.63
AFUN019688	1.36	1.23	1.14	1.24	1.03
AFUN006314	1.38	1.18	1.12	1.33	1.31
AFUN004899	1.24	0.79	1.12	1.04	1.1
AFUN009596	-1.02	-1.05	-1.17	-1.31	-1.07
AFUN005715	1.2	0.86	1.18	0.94	1.21
AFUN020614	2.0	1.54	1.65	1.72	1.41
AFUN007583	0.61	0.46	0.54	0.5	0.53
AFUN016667	-0.98	-0.54	-0.59	-0.88	-0.86
AFUN007123	-1.19	-1.94	-1.13	-1.4	-1.15
AFUN005032	1.06	0.97	0.6	0.76	0.74
AFUN000597	-2.75	0.0	-3.4	-1.11	-2.69
AFUN008463	-1.6	-0.96	-0.87	-0.86	-0.66
AFUN018475	-1.44	-1.64	-1.33	-0.93	-1.3
AFUN018605	1.03	1.39	1.2	1.08	1.3
AFUN011329	1.09	0.38	1.19	0.27	1.02
AFUN018963	1.15	0.71	1.33	1.3	1.4
AFUN007871	1.37	1.71	1.12	1.19	1.28
AFUN014691	4.39	0.82	2.53	3.98	3.52
AFUN011205	-0.72	-0.03	-0.82	-0.72	-0.79
AFUN020113	-0.88	-0.22	-0.85	-0.23	-0.64
AFUN021338	2.39	2.31	0.36	1.69	0.77
AFUN021056	-1.24	-1.96	-1.59	-1.53	-1.15
AFUN009142	1.19	0.99	0.72	0.79	0.21
AFUN020808	-1.2	-0.5	-1.14	-0.89	-1.1
AFUN005012	0.97	1.08	0.7	0.97	0.77
AFUN011218	-0.75	-0.57	-0.76	-0.82	-0.66
AFUN020946	5.35	3.42	5.3	5.4	5.23
AFUN021837	-1.8	-1.31	-1.74	-1.34	-1.62
AFUN002426	0.84	0.44	0.41	0.13	0.39
AFUN018481	1.54	-0.54	1.74	1.36	1.8
AFUN021544	-0.54	-0.44	-0.48	-0.71	-0.53
AFUN000718	1.76	0.58	1.19	0.93	1.39
AFUN007859	0.74	0.74	0.25	0.37	0.4
AFUN003325	0.84	-0.02	0.17	-0.02	0.19
AFUN016602	0.87	0.48	0.67	0.73	0.75
AFUN019119	-1.98	-1.22	-2.05	-2.09	-2.0
AFUN018626	-0.87	0.32	-0.01	-0.13	-0.12
AFUN009267	-0.69	-0.16	-0.41	-0.43	-0.23
AFUN004773	1.67	1.03	1.38	1.16	1.13
AFUN002004	1.16	0.84	0.83	0.74	0.85
AFUN008521	-0.95	-0.59	-0.81	-0.77	-0.97
AFUN011290	1.0	0.7	0.62	0.79	0.7
AFUN021935	-1.22	-0.96	-0.97	-1.0	-0.93
AFUN004997	-1.04	-0.79	-0.92	-1.02	-1.12
AFUN018527	-0.77	-0.34	-0.57	-0.46	-0.43
AFUN018729	1.12	0.51	0.9	0.73	1.05
AFUN000165	1.29	1.5	1.07	1.44	1.06
AFUN022216	0.97	0.92	0.94	0.9	1.0
AFUN007296	0.74	0.48	0.44	0.51	0.5
AFUN010692	0.83	0.79	0.63	0.62	0.69
AFUN009135	0.82	0.69	0.71	0.66	0.68
AFUN020953	-1.11	-1.17	-1.46	-1.4	-1.47
AFUN016376	-1.96	-1.08	-2.23	-1.67	-1.59
