GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP008803	-0.15	0.08	-0.14	-0.04	0.13	0.29	0.28	0.4	0.4	-0.59	-0.19	-0.49	-0.1	-0.61	-0.21	-0.09	0.25	0.2	0.17	-0.3	-0.12	0.2	0.43
AGAP001672	-0.48	-0.27	-1.88	0.62	0.81	-0.95	-1.81	-1.52	-1.64	0.02	0.81	0.38	1.16	0.06	0.85	1.49	-0.07	-0.45	-1.44	-0.76	-0.34	-0.65	0.33
AGAP003160	0.15	-0.26	-0.04	0.4	0.1	0.11	0.79	0.98	0.46	-0.27	-0.14	-0.4	-0.28	-0.48	-0.35	0.05	0.01	0.98	-0.49	0.1	-0.47	0.55	0.12
AGAP011834	0.23	-0.11	0.09	-0.03	0.24	0.2	0.81	0.78	0.8	-0.27	0.64	-0.44	0.45	-0.1	0.81	-0.05	0.13	0.93	-0.54	-0.66	-0.33	1.15	-0.12
AGAP002379	-0.16	-0.19	-0.18	0.13	0.07	-0.5	-0.17	-0.43	-0.65	0.2	1.06	-0.43	0.42	-0.35	0.52	-0.08	0.36	-0.42	0.48	0.42	0.61	0.47	0.32
AGAP009600	-0.17	0.05	0.28	-0.39	0.04	-0.22	-0.38	-0.69	-0.41	-0.15	-0.5	-0.3	-0.66	-0.31	-0.65	-0.19	-0.03	-0.42	0.27	0.14	0.02	-0.55	-0.28
AGAP003556	-0.1	0.07	0.26	-0.5	-0.27	-0.05	-0.21	0.02	0.2	-0.04	0.28	-0.03	0.27	-0.26	0.06	-0.38	0.18	0.12	-0.22	-0.02	-0.3	-0.2	0.08
AGAP010755	0.18	0.0	0.22	0.11	0.14	0.2	0.18	0.23	0.22	0.48	-0.61	0.23	-0.87	0.41	-0.67	0.06	-0.14	0.39	-0.09	0.09	-0.28	0.22	-0.38
AGAP002228	-0.4	0.12	-1.07	0.72	0.44	0.16	0.21	-0.21	-0.43	0.53	0.76	0.85	1.06	0.97	1.2	0.89	0.34	-1.18	0.82	0.32	1.33	0.03	0.41
AGAP029058	-0.29	-0.21	-0.93	-0.07	-0.18	1.17	0.08	-0.01	0.24	-3.4	-2.13	-1.53	-0.28	-1.65	-0.38	-0.11	-0.37	-0.59	0.18	1.24	1.03	-1.02	0.55
AGAP005957	-0.31	0.05	0.8	0.06	-0.01	-0.42	-0.56	-0.39	-0.27	0.35	-0.72	-0.05	-1.13	0.03	-1.04	-0.12	-0.36	-0.04	-0.16	-0.04	0.04	-1.14	-0.93
AGAP003974	0.26	0.26	-0.18	-0.58	-0.02	0.15	0.08	-0.01	0.01	0.08	0.03	0.08	0.02	0.4	0.36	-0.41	-0.03	-0.29	0.11	-0.08	0.1	-0.56	0.0
AGAP028729	0.23	-0.61	-0.2	-1.07	-0.47	0.94	1.37	1.97	1.82	-0.56	-0.98	-0.49	-0.92	-0.26	-0.68	-0.83	-0.75	1.5	-1.36	-0.65	-0.58	0.71	0.55
AGAP009638	-0.19	-0.17	-0.23	0.29	0.28	-0.17	0.0	-0.01	-0.18	-0.06	0.18	0.29	0.52	0.07	0.31	0.15	0.23	-0.32	0.28	-0.32	0.41	0.52	0.41
AGAP012908	0.52	0.31	-0.1	-0.01	-0.02	0.13	-0.31	0.21	0.07	0.6	-0.11	0.86	0.14	0.88	0.17	0.29	0.01	-0.32	-0.13	-0.55	-0.18	-0.01	0.02
