GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP007364	-2.61	-1.02	1.32	0.42	0.89	-1.03	0.12	-1.44	-1.0	-0.53	-2.29	-1.02	-2.79	-2.3	-4.05	-0.9	-2.0	1.46	0.69	1.02	0.65	-1.1	-0.14
AGAP010071	-2.33	-2.3	-0.37	-0.36	-0.59	-1.86	-1.82	-1.66	-1.71	-0.52	-2.18	-0.29	-1.96	-0.28	-1.94	0.14	-2.44	-0.05	-0.5	-0.31	-0.24	-0.48	0.31
AGAP007774	-1.77	-0.93	-0.2	-0.17	-0.46	-0.11	-0.06	-0.12	-0.11	-0.13	-1.37	-0.24	-1.49	-0.39	-1.63	-0.29	-1.25	1.29	-0.93	-0.13	-0.86	-0.52	-0.61
AGAP005809	-2.01	-1.8	0.1	-1.06	-1.5	-0.46	0.25	-0.18	-0.04	-0.2	-0.09	-0.36	-0.26	-0.58	-0.46	-0.19	0.09	-0.26	0.52	0.45	0.11	0.75	-0.18
AGAP006191	3.89	2.37	0.69	-1.38	1.94	5.46	5.67	5.43	4.95	-5.23	2.44	-3.89	3.76	-4.45	3.21	-0.53	5.95	0.63	-0.46	-3.44	-1.31	6.59	-1.91
AGAP002865	4.26	1.36	-0.76	2.03	3.9	1.26	1.87	0.41	-0.32	3.82	5.98	4.07	6.22	4.28	6.45	1.0	5.19	-3.39	2.41	4.7	2.84	0.47	1.07
AGAP028564	-7.15	4.46	3.86	-5.77	-8.6	0.48	-0.29	1.07	0.72	4.32	-4.13	4.68	-3.79	3.7	-4.73	-1.42	-1.13	-3.75	-0.51	-0.66	0.24	-1.11	2.93
AGAP010794	-2.29	-3.03	-1.41	0.71	-0.34	-1.64	-1.51	-1.39	-2.11	0.72	-0.33	0.93	-0.13	0.68	-0.37	-0.25	-1.19	0.66	-0.12	0.06	-0.27	0.68	0.25
AGAP007285	2.82	0.82	-0.58	0.17	-0.61	-0.09	1.94	2.22	1.55	2.28	-1.12	2.04	-1.37	2.07	-1.32	-0.72	-0.02	-0.39	-0.53	-0.05	-0.7	0.71	1.55
AGAP008218	2.64	0.58	-2.17	2.55	4.33	3.46	1.54	2.07	1.5	1.35	2.11	0.46	1.2	0.34	1.1	1.32	6.89	0.6	1.27	1.98	0.7	-0.85	1.14
AGAP006017	-1.47	-1.15	0.1	-1.52	-1.36	-0.2	0.29	-0.11	-0.06	-1.1	-0.96	-1.23	-1.1	-1.63	-1.48	-0.22	-0.07	0.42	0.75	0.72	0.59	0.1	0.27
AGAP000743	1.55	0.64	-0.8	0.19	-0.03	1.84	1.13	1.55	2.08	-0.46	-0.79	0.47	0.12	1.2	0.88	0.9	0.44	-1.62	-1.34	-1.53	-1.18	1.17	-0.01
AGAP005783	-1.9	-0.79	0.25	-1.05	-0.87	-0.14	-0.24	-1.1	-1.14	-0.56	-0.82	-0.72	-0.99	-1.09	-1.34	-0.23	0.11	-1.25	0.23	0.41	0.23	-0.97	0.64
AGAP008291	-3.53	-0.49	1.51	-1.45	2.28	-1.64	-2.52	-5.02	-7.04	2.12	2.02	1.49	1.39	1.31	1.21	-1.62	3.02	-1.12	1.04	2.74	2.07	-1.11	-2.62
AGAP008331	2.13	-0.04	-0.68	0.93	1.67	2.02	1.72	1.65	1.3	0.68	1.06	0.5	0.86	0.33	0.71	1.03	2.22	4.42	-0.12	0.2	-0.21	-0.04	-0.17
AGAP000363	1.65	0.83	-0.93	0.13	-0.31	0.27	0.27	-0.55	-0.87	-0.07	0.22	0.0	0.27	0.05	0.35	0.76	0.12	-1.5	-1.37	-1.31	-1.42	-0.19	0.13
AGAP011475	-5.6	-8.55	-1.4	1.55	0.86	-8.12	-7.21	-6.59	-4.75	0.34	3.18	-1.84	0.98	2.5	5.33	1.68	-4.53	3.28	1.11	1.5	4.18	3.16	2.74
AGAP000037	1.67	0.51	-1.06	0.28	-0.04	0.56	0.25	-0.39	-0.8	-1.27	-0.04	-1.34	-0.11	-1.58	-0.33	0.87	0.12	-1.2	-2.12	-1.96	-2.14	-0.77	0.18
AGAP006339	-1.92	-1.19	-0.42	-0.31	-0.17	0.03	0.08	-0.74	-0.87	-0.28	0.11	-0.18	0.19	-0.37	0.02	-0.39	0.07	0.21	-0.13	0.18	0.12	-0.03	0.19
AGAP010313	1.36	0.7	0.51	-0.58	-0.58	1.07	0.96	0.85	0.84	-0.21	-0.23	-0.17	-0.2	-0.45	-0.47	-0.54	0.28	-0.53	-0.5	-0.44	-0.3	-0.39	-0.21
AGAP006935	-2.1	-0.9	0.63	-0.13	-0.39	-0.31	0.49	-0.32	-0.36	-0.78	-1.35	-1.05	-1.64	-1.56	-2.13	-0.87	-0.96	1.46	1.0	0.96	1.01	-0.16	1.0
AGAP005978	-1.35	-0.38	0.45	-1.01	-1.16	-0.32	0.17	-0.37	-0.4	0.2	-1.14	-0.04	-1.4	-0.21	-1.55	-0.69	-0.95	0.52	0.14	0.25	-0.01	-0.21	0.16
AGAP006729	-1.59	-0.54	-0.52	-0.72	0.36	-0.64	-0.3	-1.18	-1.41	2.13	1.47	2.76	2.08	1.37	0.71	-0.08	1.47	-1.32	1.43	1.97	1.92	1.01	0.44
AGAP008288	1.12	0.07	-0.32	-0.41	-1.21	-0.49	0.23	-0.6	-1.51	0.7	1.57	0.62	1.48	0.87	1.75	-1.4	-1.03	-1.87	-0.62	0.66	-0.14	0.67	1.15
AGAP006961	-1.51	-0.53	1.19	-0.33	-1.58	-1.05	-1.09	-0.98	-0.74	-0.3	-0.2	-0.47	-0.38	-0.01	0.09	-2.93	-1.01	-2.95	1.23	0.88	0.46	-0.6	-0.83
AGAP000792	-1.17	-0.86	-0.43	-0.45	0.8	0.37	0.29	-0.44	-0.34	-1.17	-1.04	-0.76	-0.65	-1.72	-1.59	-0.51	1.21	0.34	0.84	0.38	0.66	0.06	0.68
AGAP003373	-1.98	-1.26	-0.35	-0.26	-0.28	-2.26	-1.34	-1.77	-1.69	-0.86	-0.07	-0.85	-0.08	-0.12	0.67	-0.7	-1.48	1.17	1.05	0.66	0.65	-0.12	0.98
AGAP003933	1.46	0.47	-1.3	0.13	-0.16	0.28	-0.13	-0.25	-0.42	-0.35	0.42	-0.36	0.4	-0.29	0.48	0.64	-0.06	-1.18	-1.39	-1.37	-1.04	0.21	0.1
AGAP008083	1.8	0.29	-1.07	0.68	-0.35	-0.62	-1.41	-1.3	-0.97	-0.57	0.65	-1.0	0.21	-0.66	0.57	-0.41	-0.23	-0.78	0.03	-1.24	-0.7	0.27	-0.37
AGAP011318	1.25	0.93	-0.89	0.13	-0.25	0.22	-0.19	-0.37	-0.68	-0.02	0.55	-0.01	0.55	0.53	1.1	0.48	0.07	-1.34	-0.21	-0.24	-0.07	0.11	0.03
AGAP006699	-1.83	-1.27	-0.1	-0.86	0.3	0.76	0.22	0.27	0.3	-0.5	0.63	-0.4	0.71	-0.81	0.32	0.82	1.51	-0.91	1.4	0.46	0.67	0.09	-0.06
AGAP004870	-1.25	-0.58	0.33	0.05	-0.14	-0.48	0.19	-0.13	-0.18	-0.5	-0.63	-0.6	-0.75	-0.64	-0.76	-0.67	-0.74	0.74	0.77	0.61	0.64	-0.63	0.26
AGAP006478	-1.37	-0.95	0.11	-1.14	-1.34	0.35	0.76	0.45	0.43	-1.53	-1.29	-1.43	-1.19	-1.67	-1.43	-0.28	-0.53	0.01	0.41	0.02	0.23	-0.38	0.42
AGAP012982	1.0	0.59	-1.09	0.29	0.21	0.25	-0.85	-0.62	-0.53	-0.4	1.13	-0.54	0.98	0.49	2.03	0.83	1.13	-0.95	-0.78	-0.87	-0.89	-0.09	0.01
AGAP007793	2.5	-0.16	-0.69	-0.68	-0.07	-0.05	0.71	0.37	0.18	0.63	0.81	1.15	1.31	-0.25	-0.07	1.57	1.03	-0.45	0.17	0.53	-0.16	-0.33	-0.94
AGAP008486	1.45	0.92	-0.74	-0.27	-0.5	0.62	0.26	0.15	-0.2	-0.52	-0.3	-0.35	-0.14	0.08	0.31	0.39	-0.34	-1.13	-1.44	-1.29	-1.19	-1.05	-0.04
AGAP028513	2.12	1.14	-1.27	0.84	0.22	1.05	0.28	-0.48	-0.37	-0.07	0.57	0.37	0.99	0.08	0.72	1.34	0.86	-0.28	-1.4	-1.22	-1.63	-0.45	0.17
AGAP002790	1.12	0.48	-1.01	0.22	0.0	0.13	-0.02	-0.24	-0.55	-0.5	-0.05	-0.57	-0.14	-0.17	0.28	0.54	-0.14	-1.01	-0.79	-0.61	-0.5	0.38	-0.19
AGAP006480	-1.84	-1.19	0.8	-0.42	-1.6	-0.13	2.34	2.96	2.78	0.89	-1.06	1.98	0.01	2.15	0.2	0.2	-1.37	-3.87	1.65	0.55	1.87	1.13	1.44
AGAP000065	1.3	0.31	-0.93	-0.11	-0.28	0.37	-0.04	-0.55	-0.85	-0.1	0.07	0.01	0.17	0.0	0.17	-0.14	0.43	-1.09	-2.59	-1.83	-2.83	0.23	0.23
AGAP006433	-4.25	-0.33	0.04	-0.65	3.15	-0.56	-2.3	-4.09	-3.5	0.48	-0.98	0.91	-0.56	-0.8	-2.27	1.05	4.49	-0.14	1.36	0.24	1.5	-1.48	-2.38
AGAP003318	1.4	0.74	-1.06	0.1	-0.16	0.5	0.87	-0.38	-0.62	-0.63	0.36	-0.54	0.43	-0.51	0.48	0.52	0.09	-1.68	-1.04	-0.89	-0.84	-0.32	-0.08
AGAP004382	2.05	1.44	0.39	-0.25	0.9	-0.39	0.67	0.18	1.22	2.09	1.26	2.63	1.79	2.03	1.21	0.03	0.96	0.26	1.72	1.31	1.71	1.75	1.05
AGAP008282	-2.21	1.98	0.33	0.39	0.36	-2.45	-1.0	-1.57	-2.11	2.62	-0.18	2.94	0.13	2.87	0.08	2.0	-0.48	-0.89	0.84	0.32	1.04	0.93	1.0
AGAP004209	1.17	0.71	-0.77	0.1	-0.17	0.27	0.09	-0.16	-0.45	-0.77	-0.04	-0.35	0.37	-0.48	0.26	0.46	-0.08	-1.39	-1.07	-1.1	-1.0	-0.26	-0.21
AGAP008538	1.37	0.72	-1.41	0.49	0.14	0.16	-0.37	-0.72	-0.94	-0.47	0.13	-0.51	0.08	-0.21	0.4	0.36	0.03	-1.21	-1.22	-0.88	-1.27	-0.27	-0.05
AGAP003400	0.98	0.49	-1.38	0.34	0.05	0.2	0.02	-0.22	-0.38	-0.14	0.81	-0.34	0.59	0.35	1.3	0.58	0.11	-1.02	-0.31	0.01	-0.23	0.16	0.26
AGAP005866	1.32	0.77	-2.1	0.63	0.37	-0.2	-0.61	-1.06	-1.4	0.22	0.72	0.12	0.61	0.41	0.92	-0.05	-0.47	-0.41	-1.03	-1.05	-0.9	0.17	0.58
AGAP008862	-1.66	-1.06	0.03	0.2	-0.89	-0.57	-0.22	-1.18	-0.8	-0.12	-0.23	-0.27	-0.39	-0.85	-0.96	-0.17	-0.13	-0.09	0.35	0.4	0.12	-0.66	-0.01
AGAP005826	-1.22	-1.0	0.01	-0.63	-0.97	0.04	-0.13	-0.11	-0.37	-0.28	-0.87	-0.12	-0.73	-0.48	-1.07	-0.21	-0.23	0.31	-0.04	-0.23	-0.15	-0.18	0.31
AGAP007086	1.46	0.63	-0.99	0.24	-0.19	0.28	-0.26	-0.54	-0.95	-0.96	0.07	-0.59	0.43	-1.05	-0.01	0.68	0.01	-1.03	-1.6	-1.48	-1.83	-0.12	0.06
AGAP005913	-1.12	-0.79	0.15	-0.79	-0.46	0.05	0.4	0.17	0.07	-0.3	-0.45	-0.26	-0.42	-0.46	-0.6	-0.4	0.07	-0.14	-1.83	-1.56	-1.91	0.15	0.2
AGAP000232	1.41	0.91	-0.66	0.2	-0.05	0.49	0.62	-0.37	-0.71	-1.13	0.33	-1.06	0.38	-1.42	0.04	0.64	0.03	-1.14	-1.41	-1.29	-1.24	-0.09	0.37
AGAP005241	2.85	0.47	0.17	0.27	-1.08	0.17	1.26	2.12	1.35	-0.34	-1.28	0.01	-0.95	0.3	-0.64	-0.9	2.41	0.97	0.83	0.35	0.89	0.12	-1.47
AGAP004033	1.16	0.52	-1.26	0.15	-0.05	-0.1	-0.12	-0.5	-0.7	-0.44	0.14	-0.28	0.29	-0.07	0.52	0.42	-0.12	-1.65	-0.91	-0.6	-0.49	0.05	0.08
AGAP008963	-1.87	-0.63	-0.32	-6.12	0.54	-0.4	-1.9	-2.13	-1.4	-1.4	-1.69	-0.49	-0.8	-2.33	-2.62	-1.06	2.57	-0.62	0.35	-0.17	0.54	0.22	2.44
AGAP009995	1.24	0.56	-1.38	0.17	-0.67	0.12	-0.43	-0.32	-0.52	-0.16	0.25	-0.15	0.25	0.05	0.46	-0.01	-0.47	-0.86	-1.25	-1.13	-1.18	-0.05	0.24
AGAP001899	-1.74	-1.01	0.43	0.87	-0.96	0.1	0.85	0.96	0.89	-0.27	0.47	0.29	1.02	-0.24	0.5	0.06	0.73	1.5	0.0	0.02	0.47	0.04	1.76
AGAP000449	1.28	0.1	-1.52	0.52	0.24	0.46	0.41	-0.15	-0.48	-0.15	-0.11	-0.14	-0.12	-0.18	-0.14	0.22	0.0	-0.65	-0.42	-0.38	-0.38	0.07	0.56
AGAP000203	1.07	0.41	-0.48	-0.05	-0.46	0.21	-0.07	-0.09	-0.28	-0.16	0.27	-0.26	0.15	0.14	0.57	0.06	0.07	-0.67	-0.15	0.19	-0.21	-0.54	0.39
AGAP009598	1.28	0.54	-1.01	0.43	0.3	0.49	-0.12	-0.35	-0.8	-1.12	0.26	-1.21	0.16	-1.14	0.24	0.78	0.35	-0.98	-0.77	-0.41	-0.63	-0.11	0.27
AGAP005845	-0.92	-0.93	-0.38	-0.16	-0.07	-0.41	-0.35	-0.63	-0.55	0.1	0.44	0.07	0.39	-0.24	0.09	-0.58	0.28	0.22	0.5	0.43	0.35	0.18	0.51
AGAP003638	-1.19	-0.37	-0.29	-0.28	1.12	0.56	-0.07	-0.57	-0.58	-0.29	0.75	-0.37	0.66	-0.7	0.35	-0.15	1.43	-0.43	0.27	0.62	0.54	-0.29	0.56
AGAP005254	1.38	0.96	-0.82	-0.04	-0.41	0.07	-0.23	-0.95	-1.44	-0.69	0.87	-1.03	0.51	-0.83	0.74	0.53	-0.1	-1.85	-1.72	-1.61	-1.43	-0.21	-0.37
AGAP029047	1.34	0.16	-1.05	0.14	0.11	0.32	0.24	-0.21	-0.47	-0.61	-0.08	-0.47	0.05	-0.62	-0.08	0.22	-0.04	-0.62	-1.93	-1.68	-1.72	-0.02	0.68
AGAP001526	-1.15	-0.51	0.13	0.09	0.09	-0.2	-0.29	-0.49	-0.24	0.15	0.4	-0.12	0.12	-0.15	0.1	-0.29	-0.72	0.36	-0.04	0.02	-0.36	0.31	-0.39
AGAP007127	1.28	0.93	-0.8	0.25	-0.07	0.05	-0.01	-0.67	-1.02	-0.42	0.4	-0.4	0.4	-0.56	0.26	0.6	0.1	-1.33	-0.02	-0.07	0.08	0.25	0.05
AGAP011106	-2.56	-0.47	-0.04	-1.41	-1.37	-2.15	-2.04	-2.01	-1.74	2.03	2.54	1.53	2.03	1.28	1.79	-1.52	-1.43	-3.42	1.07	0.94	1.66	-2.01	1.16
AGAP001883	1.02	-0.03	0.06	-0.48	0.44	0.38	0.15	-0.27	-0.27	-0.61	-1.23	-1.08	-1.71	-1.09	-1.71	-0.2	-0.51	0.4	-0.29	-0.18	-0.47	-0.1	0.2
AGAP001474	1.19	0.38	-0.93	0.09	-0.3	0.09	-1.13	-0.33	-0.39	0.23	0.53	0.39	0.68	0.81	1.11	0.71	0.48	-0.08	-1.07	-1.19	-1.16	-0.26	0.1
AGAP002089	1.24	0.31	-1.51	0.69	0.02	-0.31	-0.9	-0.91	-1.04	0.28	0.32	0.51	0.54	0.88	0.92	-0.07	-0.31	-0.81	-0.49	-0.53	-0.62	0.52	-0.02
AGAP000805	1.23	0.99	-0.88	0.17	-0.07	0.79	0.92	-0.14	-0.46	-0.31	0.04	-0.3	0.04	-0.2	0.16	0.8	-0.04	-1.72	-1.36	-1.1	-1.05	0.96	-0.28
AGAP006434	-4.81	-0.26	0.2	-1.34	3.8	-0.55	-2.18	-4.36	-3.85	-0.02	-1.72	0.91	-0.81	-0.63	-2.34	1.44	5.98	0.22	1.49	0.34	1.79	-2.22	-3.26
AGAP000342	1.57	0.56	-0.76	0.61	0.66	0.37	-0.65	-0.89	-0.7	0.07	0.39	0.31	0.61	0.23	0.55	0.95	0.47	-0.9	-1.38	-1.24	-1.25	0.09	-0.03
AGAP005079	-1.29	0.83	-0.68	-0.15	1.32	0.48	-0.55	-0.97	-1.06	0.4	1.39	-0.01	0.98	0.75	1.75	0.65	1.63	-1.34	0.52	0.74	0.54	-0.01	-0.51
AGAP006756	-1.16	-1.78	-0.7	-1.03	-0.69	-1.07	-1.61	-1.6	-1.57	0.36	0.35	0.54	0.51	0.37	0.35	-0.54	-0.24	-1.74	0.07	0.33	0.12	-0.3	0.71
AGAP013149	1.19	0.66	-0.57	0.13	0.01	0.63	-0.84	-0.07	0.11	-0.4	1.13	-0.54	0.98	0.49	2.03	1.02	1.9	-0.65	-0.78	-0.87	-0.89	-0.09	-0.16
AGAP004581	3.64	-0.03	3.69	-2.18	-2.92	-2.53	-2.71	0.7	0.76	2.09	1.51	0.68	0.11	2.64	2.09	-5.67	6.32	0.49	1.33	0.31	0.18	0.29	-2.94
AGAP010260	1.24	0.35	-1.36	0.52	0.05	0.18	-0.59	-0.5	-0.93	-0.09	0.61	-0.1	0.59	0.38	1.09	0.26	-0.11	-0.45	-1.01	-0.96	-1.1	-0.13	0.04
AGAP009477	-1.9	-0.51	0.39	-0.41	-1.05	-0.16	0.73	-0.26	-0.16	-0.26	-1.51	-0.79	-2.06	-1.48	-2.73	-0.68	-0.52	0.49	-0.4	-0.31	-0.5	-0.32	0.83
AGAP004883	-1.74	0.57	0.22	-0.22	2.47	-0.41	-2.06	-2.94	-2.55	0.71	1.25	0.48	1.01	-0.09	0.46	1.57	4.42	-0.47	2.24	1.69	3.37	-1.56	-1.18
AGAP007065	-1.14	-1.04	-0.1	-0.94	-0.46	-0.15	0.12	0.23	-0.25	0.05	0.24	0.0	0.18	-0.13	0.06	-0.33	0.2	-0.52	0.44	0.16	0.13	0.13	0.42
AGAP004827	1.33	0.54	-0.76	0.34	0.61	0.26	-0.27	-0.94	-1.12	-0.55	0.42	-0.22	0.74	-0.32	0.65	0.46	0.44	-0.41	-0.99	-0.94	-0.98	-0.66	-0.05
AGAP012635	-2.64	-2.73	0.65	-2.81	-2.67	-1.43	-2.33	-2.8	-3.15	0.13	0.45	-0.8	-0.49	-0.61	-0.29	-2.19	-0.14	-0.68	0.86	-0.03	-0.36	-0.04	-1.33
AGAP006511	-1.09	-0.78	0.23	-0.4	0.0	-0.34	-0.21	-0.36	-0.47	-0.06	-0.97	-0.18	-1.1	-0.53	-1.43	-0.23	-0.42	0.27	0.24	0.2	-0.16	0.3	0.3
AGAP002529	1.12	0.53	-0.85	0.19	0.16	0.3	0.07	-0.44	-0.92	-0.41	0.07	-0.19	0.27	-0.18	0.3	0.59	0.12	-0.89	-0.92	-1.17	-0.64	0.32	0.02
AGAP001200	-1.58	-0.91	0.2	0.24	0.1	0.35	1.06	1.21	0.96	-0.8	0.1	-0.83	0.06	-1.11	-0.21	0.12	0.56	0.92	-0.2	0.22	0.33	1.15	1.03
AGAP000965	1.24	0.29	-1.45	0.44	0.39	0.28	-0.1	-0.33	-0.65	0.03	0.55	0.04	0.55	0.21	0.73	0.66	0.12	-0.7	-0.71	-0.4	-0.52	0.08	0.44
AGAP001800	1.21	0.6	-1.15	0.22	-0.24	0.36	0.15	-0.24	-0.53	0.3	0.64	0.34	0.66	0.62	0.97	0.63	0.19	-1.37	-0.61	-0.59	-0.58	-0.06	-0.15
AGAP002176	1.19	0.3	-1.36	0.71	0.13	0.04	-0.61	-0.67	-0.75	0.08	0.39	0.14	0.44	0.68	1.0	0.43	0.23	-0.57	-0.6	-0.67	-0.61	0.02	0.29
AGAP000104	1.2	0.42	-0.88	0.07	-1.29	-0.05	-0.74	-0.25	-0.35	0.29	0.67	0.44	0.83	1.27	1.67	-0.09	-1.16	-1.25	-0.94	-0.76	-0.93	-0.33	0.67
AGAP008143	1.32	-0.32	-1.17	0.27	-0.29	-1.5	-1.3	-1.33	-1.26	0.35	1.35	0.27	1.27	1.69	2.7	-0.07	-1.65	-0.79	-1.02	-0.46	-0.95	-0.54	1.21
AGAP002291	1.04	0.04	-0.35	0.25	0.1	-0.06	0.21	1.27	1.4	-0.48	0.46	-0.02	0.91	0.38	1.33	-0.39	0.33	-1.47	-0.19	-0.17	-0.46	0.28	0.48
AGAP004243	-1.86	-0.35	0.68	-0.8	0.21	-0.67	-0.61	-1.56	-1.23	-0.02	-0.97	-0.24	-1.2	-0.87	-1.83	-0.86	-1.25	-0.14	0.58	0.75	0.65	-1.32	-0.34
AGAP004476	1.21	0.97	-0.66	0.25	-0.14	0.14	-0.3	-0.84	-1.02	0.33	1.41	0.7	1.77	0.59	1.68	0.69	0.36	-1.65	-0.19	0.03	-0.1	-0.29	-0.34
AGAP005892	-1.34	-1.52	0.03	-1.52	-1.24	-0.02	0.3	-0.15	-0.01	-1.05	-1.56	-1.03	-1.55	-1.46	-1.96	-0.19	-0.17	0.1	0.34	0.41	0.37	-0.79	-0.1
AGAP007003	1.88	0.46	-0.54	-0.64	0.18	0.97	0.78	1.18	1.22	-0.43	-1.1	-0.6	-1.29	-0.38	-1.06	0.13	0.21	-0.03	0.05	0.19	-0.17	-0.54	-0.01
AGAP000213	1.71	0.56	-1.07	-1.01	-1.36	0.18	-0.37	0.21	0.97	-0.03	1.34	-0.24	1.12	1.58	2.96	-0.4	-0.83	-1.0	-1.46	-1.82	-1.47	0.33	0.62
AGAP010498	-1.32	-0.86	0.08	0.07	0.46	-0.76	-0.83	-1.04	-0.89	0.77	-0.36	0.32	-0.83	0.4	-0.74	-0.01	-0.58	0.61	-0.07	-0.11	-0.41	0.13	-0.58
AGAP010604	1.27	0.49	-0.86	0.46	0.19	0.32	-0.75	-0.62	-0.67	-0.06	-0.41	0.0	-0.36	0.77	0.43	0.44	0.7	0.13	-0.82	-0.76	-0.53	-1.04	-0.52
AGAP007992	1.27	0.76	-0.98	0.33	-0.24	-0.05	-0.45	-0.8	-1.34	-0.12	0.27	-0.03	0.35	0.2	0.6	0.83	0.12	-1.7	-1.07	-0.95	-0.93	-0.18	-0.13
AGAP010722	-1.55	-1.13	-0.36	0.08	0.42	-1.28	-1.18	-1.65	-1.24	0.08	-0.95	-0.25	-1.29	-0.5	-1.53	-0.12	-1.95	0.05	0.17	0.43	0.08	-0.3	-0.42
AGAP000329	1.66	0.43	-1.22	0.73	0.1	0.29	0.01	-0.29	-0.94	-0.52	0.0	-0.2	0.32	-0.24	0.29	0.57	-0.19	-1.16	-1.12	-0.84	-1.11	-0.1	-0.04
AGAP008227	-1.62	-0.82	0.37	0.33	0.53	1.32	1.67	1.92	1.62	-0.96	0.16	-0.97	0.13	-1.2	-0.09	0.24	1.22	1.47	0.32	0.4	0.78	1.12	1.31
AGAP010675	1.15	0.52	-0.6	0.33	-0.13	0.44	0.49	0.57	0.44	0.41	0.45	0.61	0.63	0.74	0.77	0.53	0.41	-0.51	0.05	0.03	-0.07	0.17	0.19
AGAP009518	1.16	0.46	-0.85	0.24	0.13	0.12	0.12	-0.4	-0.64	-0.44	0.93	-0.66	0.69	-0.16	1.22	1.1	0.33	-1.14	-0.16	-0.15	-0.11	-0.11	0.14
AGAP007593	-1.26	0.54	1.03	0.46	1.33	-0.97	-0.56	0.02	-0.28	-0.08	2.15	-0.09	2.14	-0.44	1.8	0.28	1.34	-0.37	0.81	0.8	1.13	2.18	-0.51
AGAP000835	-1.51	-0.95	0.22	0.29	-0.41	-0.58	-0.06	-0.81	-0.52	0.33	-0.72	-0.36	-1.42	-0.62	-1.67	-0.23	-0.57	1.31	0.61	0.84	0.59	-0.83	0.71
AGAP011238	-2.37	-1.01	0.72	0.16	-4.34	-0.72	-0.62	-1.46	-1.41	-0.49	-1.84	-0.6	-1.97	-0.62	-1.97	-0.33	-1.7	-0.07	-0.73	-0.32	-1.0	-0.63	0.17
AGAP010817	1.43	0.72	-0.75	0.24	0.25	0.16	-0.31	-0.75	-1.28	-0.4	0.2	-0.24	0.35	-0.16	0.44	0.43	0.24	-0.74	-0.88	-0.77	-0.99	-1.02	-0.3
AGAP011832	-0.69	-0.13	-0.05	-0.14	-0.02	-0.3	-0.16	-0.13	-0.13	0.35	-0.11	0.31	-0.17	0.26	-0.2	-0.15	0.09	0.29	-0.01	-0.04	-0.25	1.18	0.11
AGAP010122	-1.21	1.79	-0.02	-0.05	-1.25	-0.08	-0.42	-0.79	-1.08	0.7	0.59	0.91	0.79	1.21	1.11	-0.14	-0.83	-2.51	1.78	1.04	2.3	0.1	0.64
AGAP006108	-1.14	-1.07	-0.11	-1.12	-0.66	-0.15	1.68	0.19	0.38	-0.42	0.07	-0.6	-0.13	-0.87	-0.38	-0.6	0.09	0.91	0.14	-0.24	0.09	0.27	1.06
AGAP007801	-1.54	-0.41	0.45	0.67	2.5	0.93	0.22	-0.35	-0.91	-0.79	1.02	-1.15	0.64	-1.11	0.7	0.59	2.96	-1.13	1.26	0.58	1.03	0.58	-1.07
AGAP000637	1.12	0.62	-1.06	0.27	-0.37	0.12	-0.6	-0.53	-0.87	0.24	0.55	0.49	0.79	0.94	1.25	0.42	-0.06	-0.67	-1.09	-0.92	-0.91	-0.21	0.03
AGAP005916	-1.05	-0.79	-0.02	-0.38	-0.99	-0.34	0.04	0.12	0.18	-0.16	0.18	-0.31	0.02	-0.15	0.19	-0.02	-0.04	-0.12	0.47	0.64	0.56	0.7	0.28
AGAP005033	-0.78	-0.44	0.21	-0.18	-0.08	-0.13	0.1	-0.41	-0.36	-0.33	-0.75	-0.44	-0.88	-0.78	-1.21	-0.07	-0.21	0.52	-0.07	0.08	-0.31	-0.44	0.0
AGAP012201	3.66	1.05	2.9	-1.71	-2.38	2.19	4.41	2.96	3.33	0.97	1.57	-0.18		2.72	3.31	2.14	4.78	3.26	0.06	0.03	0.03	-1.82	-1.71
AGAP005674	1.12	0.68	-1.0	0.38	0.16	-0.02	-0.18	-0.45	-0.48	-0.1	0.57	-0.01	0.65	0.07	0.75	0.63	0.1	-1.18	-0.29	-0.19	0.05	0.05	-0.13
AGAP009447	-0.97	-0.74	0.25	-0.43	-0.27	0.5	1.29	1.21	1.03	-0.72	0.04	-1.17	-0.42	-1.28	-0.52	-0.95	-0.5	1.32	0.4	0.57	0.28	0.78	0.92
AGAP011653	1.8	0.62	0.34	-1.54	-1.94	0.04	0.88	0.68	0.81	3.54	-0.05	3.14	-0.46	3.85	0.26	-1.53	0.33	-0.31	3.23	2.79	2.0	-0.53	4.97
AGAP006460	-0.83	-0.79	0.01	-0.8	-0.84	0.55	1.2	0.33	0.29	-1.29	-1.7	-1.57	-1.99	-2.13	-2.54	-0.33	-0.16	0.0	-0.49	-0.73	-0.52	0.05	0.29
AGAP009183	1.44	0.78	-1.05	0.14	0.22	0.43	-0.52	-0.43	-0.76	0.04	0.5	0.26	0.7	0.57	1.03	0.99	0.18	-1.11	-1.24	-0.99	-1.2	-0.59	-0.11
