GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP000832	-0.16	0.16	0.0	-0.16	-0.26	-0.21	-0.39	-0.01	0.09	0.36	-0.31	0.3	-0.39	0.4	-0.28	-0.03	-0.25	0.0
AGAP002097	0.22	0.05	-0.07	0.17	-0.31	-0.02	0.24	0.1	0.2	0.11	-0.25	0.09	-0.28	0.29	-0.07	0.14	-0.26	0.15
AGAP012077	0.28	0.17	-0.06	-0.17	-0.18	0.14	0.18	0.34	0.33	-0.1	-0.25	0.14	-0.02	0.27	0.13	0.17	0.07	-0.18
AGAP002175	-0.17	-0.1	-0.06	-0.15	-0.21	-0.21	-0.4	-0.23	-0.07	-0.01	-0.32	-0.02	-0.34	-0.05	-0.36	-0.06	-0.34	0.52
AGAP011449	-0.3	-0.15	-0.02	-0.16	0.03	0.28	0.12	0.06	0.19	-0.15	-0.42	-0.03	-0.31	0.04	-0.23	0.03	-0.26	0.65
AGAP004438	-0.18	-0.03	0.03	0.1	-0.02	0.38	0.41	0.15	0.18	-0.35	-0.2	-0.25	-0.12	-0.38	-0.24	0.0	-0.06	0.07
AGAP004733	0.92	-0.34	-0.34	0.63	0.58	0.2	0.28	0.18	-0.6	0.8	0.53	0.71	0.43	1.47	1.19	0.69	0.5	-0.26
AGAP011732	0.16	0.05	-0.12	-0.06	0.13	0.28	0.5	-0.18	-0.09	-0.72	-0.34	-0.73	-0.36	-0.84	-0.45	-0.12	0.0	-0.23
AGAP012975	0.43	0.3	-1.19	-0.1	-0.93	-0.15	-0.32	-0.05	-0.4	-0.65	0.29	-0.44	0.47	0.88	1.82	-0.33	-0.73	-0.53
AGAP005761	-0.32	0.25	-0.14	-0.43	-0.71	-0.14	-0.39	-0.22	-0.17	0.23	0.41	0.26	0.43	0.36	0.55	0.07	0.41	-0.25
AGAP009857	2.23	-1.74	-1.32	0.5	0.61	0.37		0.94	0.18	-0.56	0.02	-0.18	0.39	-0.29	0.29	5.51	0.42	0.68
AGAP000983	-0.23	-0.2	-0.21	0.15	0.02	0.09	0.15	0.02	-0.05	-0.44	0.08	-0.33	0.17	-0.26	0.25	-0.01	0.36	0.31
AGAP003192	0.18	0.13	-0.27	-0.02	-0.17	-0.01	0.08	0.11	0.09	-0.27	0.09	-0.2	0.14	0.03	0.39	0.06	0.18	-0.02
AGAP002874	-0.17	-0.02	-0.09	-0.36	0.17	0.46	0.49	0.52	0.43	0.58	0.61	0.64	0.66	0.7	0.73	-0.26	0.13	0.45
AGAP003602	-0.25	0.04	-0.29	-0.05	0.6	0.26	-0.93	-1.1	-1.14	0.72	-0.37	0.53	-0.57	0.33	-0.76	0.16	0.64	-0.04
AGAP010451	0.19	0.16	0.21	-0.23	-0.77	-0.16	-0.06	1.06	0.62	-0.64	-0.07	-0.64	-0.09	-0.31	0.26	-1.21	-0.33	0.39
AGAP010214	-0.15	-0.11	-0.05	0.11	-0.08	-0.1	0.04	0.51	0.48	0.46	-0.01	0.4	-0.08	0.49	0.03	0.03	-0.06	-0.14
AGAP010339	-0.27	0.28	0.31	0.2	0.24	0.07	-0.03	0.03	0.12	0.12	-0.13	0.13	-0.13	0.19	-0.05	-0.09	-0.52	0.28
AGAP011673	-0.32	0.13	0.19	-0.02	0.23	-0.22	-0.16	-0.05	0.05	0.28	-0.08	0.18	-0.19	0.18	-0.18	0.08	-0.03	-0.04
AGAP008826	-0.19	0.02	0.25	-0.25	-0.44	0.63	0.43	-0.45	-0.35	-0.42	-0.85	-0.73	-1.17	-0.85	-1.26	-0.19	-0.56	-0.01
AGAP001300	0.23	0.09	0.13	0.32	0.27	-0.19	-0.25	-0.08	0.04	-0.01	-0.21	0.17	-0.04	0.24	0.05	-0.09	-0.26	0.53
AGAP001503	-0.93	-0.01	-0.54	-0.26	-0.88	-0.01	-0.5	-0.18	-0.38	-1.48	-0.4	-0.34	0.74	-0.65	0.45	0.07	-0.22	-0.1
AGAP009293	1.25	0.31	-1.31	0.39	0.16	0.79	-0.81	-0.77	-0.35	0.26	0.14	0.09	-0.05	0.9	0.77	0.94	0.7	-0.47
AGAP009773	-0.54	-0.32	-0.53	0.18	0.85	0.7	-0.06	0.05	-0.94	-0.63	0.22	-0.54	0.29	-1.06	-0.22	0.83	1.17	-0.23
AGAP007271	1.67	1.11	-3.24	0.15	0.66	1.19	0.86	0.93	0.86	0.54	-1.09	0.66	-0.97	0.77	-0.86	1.71	1.28	-1.75
AGAP009466	-0.26	-0.02	0.07	-0.47	-0.01	-0.07	-0.02	0.43	-0.07	-0.4	0.14	-0.14	0.38	-0.26	0.28	0.05	0.59	-0.21
AGAP005155	0.14	0.0	0.13	0.06	0.14	0.23	0.58	-0.02	-0.08	-0.27	-0.29	-0.31	-0.34	-0.72	-0.73	-0.04	0.26	0.35
AGAP007732	-0.22	0.17	-0.4	0.18	0.09	-0.99	-0.45	-1.1	-1.3	0.98	0.95	0.84	0.81	0.4	0.37	-0.25	0.07	-0.72
AGAP006780	-0.21	-0.27	0.21	-0.13	-0.15	-0.87	0.05	-0.3	-0.51	0.8	0.52	0.72	0.43	0.65	0.36	-0.75	-0.37	0.07
AGAP002889	0.14	0.26	0.37	0.03	0.0	-0.22	-0.17	0.29	0.14	0.67	1.15	0.83	1.3	0.86	1.34	0.07	0.25	0.0
AGAP002718	-0.21	-0.04	0.21	-0.12	0.07	0.52	0.91	0.37	0.13	-0.04	0.25	0.18	0.46	-0.18	0.1	0.25	0.34	0.14
AGAP001275	1.11	0.45	0.46	0.88	-0.18	0.36	-0.43	0.18	-0.76	0.39	0.84	0.9	1.33	1.19	1.63	-0.41	2.01	-0.97
AGAP007146	-0.19	-0.4	0.28	0.5	0.03	-0.53	-0.49	-0.19	-0.21	0.01	0.43	0.23	0.64	0.18	0.61	0.09	-0.13	0.52
AGAP009166	0.2	-0.03	-0.22	0.09	0.27	0.3	-0.03	0.03	0.01	0.1	0.41	0.1	0.4	0.06	0.38	0.41	0.13	0.43
AGAP011810	-0.24	0.28	-0.09	-0.28	-0.25	-0.03	-0.26	-0.21	0.06	0.75	0.45	0.68	0.37	0.84	0.54	-0.07	-0.45	-0.33
AGAP012916	2.06	2.47	-0.83	-1.76	3.32	5.96	4.01	6.73	6.09	-3.75	-2.12	-2.94	-1.31	-1.54	0.1	2.88	3.87	-2.33
AGAP002434	0.16	-0.07	-0.3	0.08	0.54	0.18	0.04	0.09	-0.18	0.01	0.69	0.07	0.74	-0.2	0.49	0.72	0.96	-0.38
AGAP006355	0.23	0.18	0.33	-0.22	0.02	-0.2	-0.47	-0.36	-0.31	0.41	-0.16	0.32	-0.25	0.35	-0.21	-0.15	-0.29	-0.08
AGAP002336	0.15	-0.05	0.22	0.4	0.48	0.3	0.63	0.01	-0.03	-1.38	-0.35	-1.41	-0.38	-1.81	-0.77	0.08	0.55	-0.27
AGAP002802	0.18	0.03	-0.44	0.28	0.02	0.04	0.2	0.0	-0.06	-0.31	-0.14	-0.21	-0.05	-0.36	-0.19	0.22	0.09	-0.09
AGAP003073	0.42	-0.58	-0.44	0.17	-0.18	-0.14	-0.19	0.15	-0.03	-0.19	-0.4	-0.09	-0.32	0.09	-0.12	-0.16	0.25	0.26
AGAP011078	0.96	-0.66	-0.3	0.2	-0.23	-0.69	-1.25	0.16	-0.43	-0.18	0.95	-0.53	0.6	0.21	1.35	0.9	0.74	0.1
AGAP004337	-0.27	-0.07	0.08	-0.06	-0.43	-0.15	-0.22	-0.35	-0.15	0.05	-0.95	0.08	-0.94	0.03	-0.97	-0.43	-0.22	-0.05
AGAP002313	0.25	0.38	0.4	0.48	0.65	0.26	-0.13	-0.32	0.12	-0.13	0.07	-0.04	0.14	-0.17	0.02	0.22	0.08	-0.05
AGAP002715	-0.2	-0.44	0.03	0.07	0.1	0.35	0.74	0.38	0.27	-1.06	-0.62	-1.18	-0.76	-1.38	-0.95	-0.11	-0.01	0.61
AGAP000320	0.16	-0.02	-0.19	0.28	0.2	0.14	0.15	0.16	0.07	-0.09	0.38	-0.11	0.36	-0.1	0.38	-0.05	0.08	0.47
AGAP004494	0.24	-0.16	0.12	0.04	-0.06	0.9	1.54	1.51	1.23	-1.72	-0.75	-1.72	-0.77	-1.72	-0.76	-0.64	-0.07	0.19
AGAP011479	-0.42	0.45	0.24	0.32	0.84	0.36	-0.17	-0.5	-0.54	0.42	2.16	0.43	2.16	0.56	2.3	0.27	1.17	-0.23
AGAP028490	-0.22	0.4	0.34	-0.31	-0.22	0.11	0.1	0.08	0.21	0.39	0.32	-0.04	-0.12	-0.18	-0.25	-0.44	-0.41	-0.11
AGAP013148	-0.33	-0.22	0.45	-0.05	-0.04	0.07	0.09	0.28	0.37	0.3	0.4	0.1	0.18	0.25	0.34	0.06	-0.09	0.53
AGAP012502	3.98	4.32	0.25	2.64	-1.02	0.37								0.86	0.86	4.09	3.42	5.56
AGAP009788	-0.17	-0.18	-0.26	-0.1	0.23	-0.01	-0.24	-0.18	-0.22	-0.84	0.01	-0.97	-0.13	-0.96	-0.1	-0.48	0.29	0.61
AGAP008287	-0.17	0.11	0.19	0.36	0.27	-0.38	-0.61	-0.65	-0.87	0.4	0.34	0.23	0.15	0.46	0.4	0.04	0.23	-0.19
