GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN014072	0.0	0.004	0.0	0.0	0.0
AFUN019688	0.0	0.0	0.0	0.0	0.0
AFUN006314	0.0	0.002	0.0	0.0	0.0
AFUN004899	0.0	0.008	0.0	0.0	0.0
AFUN009596	0.0	0.026	0.0	0.0	0.0
AFUN005715	0.0	0.004	0.0	0.0	0.0
AFUN020614	0.0	0.0	0.0	0.0	0.004
AFUN007583	0.0	0.077	0.0	0.02	0.0
AFUN016667	0.0	0.114	0.0	0.0	0.0
AFUN007123	0.0	0.001	0.0	0.0	0.0
AFUN005032	0.0	0.003	0.0	0.0	0.0
AFUN000597	0.0	0.996	0.0	0.087	0.0
AFUN008463	0.0	0.006	0.0	0.0	0.135
AFUN018475	0.0		0.0	0.005	0.0
AFUN018605	0.0	0.0	0.0	0.0	0.0
AFUN011329	0.0	0.202	0.0	0.292	0.0
AFUN018963	0.0	0.043	0.0	0.0	0.0
AFUN007871	0.0	0.0	0.0	0.0	0.0
AFUN014691	0.0	0.549	0.003	0.0	0.0
AFUN011205	0.0	0.875	0.0	0.001	0.0
AFUN020113	0.0	0.284	0.0	0.338	0.042
AFUN021338	0.0	0.0	0.633	0.0	0.343
AFUN021056	0.0		0.0	0.0	0.0
AFUN009142	0.0	0.0	0.001	0.01	0.674
AFUN020808	0.0	0.435	0.0	0.0	0.0
AFUN005012	0.0	0.004	0.0	0.0	0.0
AFUN011218	0.0	0.137	0.0	0.0	0.01
AFUN020946	0.0	0.0	0.0	0.0	0.0
AFUN021837	0.0	0.004	0.0	0.0	0.0
AFUN002426	0.0	0.31	0.062	0.734	0.148
AFUN018481	0.0	0.445	0.0	0.0	0.0
AFUN021544	0.0	0.144	0.0	0.0	0.0
AFUN000718	0.0	0.271	0.0	0.017	0.0
AFUN007859	0.0	0.007	0.193	0.008	0.012
AFUN003325	0.0	0.952	0.468	0.959	0.683
AFUN016602	0.0	0.2	0.001	0.0	0.0
AFUN019119	0.0		0.0	0.0	0.0
AFUN018626	0.0	0.291	0.977	0.692	0.653
AFUN009267	0.0	0.442	0.006	0.147	0.58
AFUN004773	0.0	0.027	0.0	0.001	0.003
AFUN002004	0.0	0.001	0.0	0.0	0.0
AFUN008521	0.0	0.068	0.001	0.0	0.0
AFUN011290	0.0	0.001	0.0	0.0	0.0
AFUN021935	0.0	0.067	0.0	0.0	0.0
AFUN004997	0.0	0.085	0.0	0.0	0.0
AFUN018527	0.0	0.123	0.0	0.118	0.195
AFUN018729	0.0	0.098	0.0	0.001	0.0
AFUN000165	0.0	0.002	0.0	0.0	0.027
AFUN022216	0.0	0.002	0.0	0.0	0.0
AFUN007296	0.0	0.065	0.003	0.013	0.001
AFUN010692	0.0	0.001	0.0	0.0	0.0
AFUN009135	0.0	0.001	0.0	0.0	0.0
AFUN020953	0.0	0.005	0.0	0.0	0.0
AFUN016376	0.0	0.144	0.0	0.0	0.029
AFUN018674	0.0	0.081	0.0	0.0	0.0
AFUN018841	0.0	0.021	0.0	0.345	0.0
AFUN021011	0.0	0.02	0.0	0.0	0.0
AFUN018529	0.0	0.707	0.0	0.249	0.344
AFUN021474	0.0	0.041	0.0	0.0	0.002
AFUN022148	0.0	0.005	0.0	0.001	0.002
AFUN003663	0.0	0.112	0.0	0.0	0.0
AFUN021045	0.0	0.025	0.12	0.001	0.007
AFUN001837	0.0	0.137	0.0	0.0	0.0
AFUN011548	0.0	0.001	0.0	0.0	0.0
AFUN011628	0.0	0.066	0.0	0.0	0.0
AFUN014520	0.0	0.082	0.02	0.108	0.069
AFUN000923	0.0	0.245	0.0	0.336	0.026
AFUN007561	0.0	0.0	0.0	0.0	0.001
AFUN004802	0.0	0.01	0.0	0.0	0.0
AFUN006183	0.0	0.002	0.022	0.411	0.174
AFUN009751	0.0	0.049	0.0	0.0	0.0
AFUN008186	0.0	0.03	0.011	0.0	0.003
AFUN018845	0.0	0.013	0.0	0.0	0.0
AFUN003794	0.0	0.002	0.0	0.0	0.0
AFUN016148	0.0	0.238	0.0	0.016	0.0
AFUN007811	0.0	0.0	0.406	0.237	0.056
AFUN021887	0.0	0.0	0.0	0.0	0.0
AFUN020455	0.0	0.095	0.0	0.029	0.051
AFUN010677	0.0	0.001	0.0	0.0	0.0
AFUN009450	0.0	0.029	0.274	0.059	0.427
